Date,Predicted Volatility,Predicted Max Drawdown,Predicted Sharpe Ratio
2023-11-24 15:00:00,4.1836047,3.076384,2.0356815
2023-11-27 15:00:00,4.182588,3.0794897,2.0436609
2023-11-28 15:00:00,4.182583,3.0810926,2.0449374
2023-11-29 15:00:00,4.1830335,3.0812633,2.0431683
2023-11-30 15:00:00,4.1843195,3.0789785,2.0347357
2023-12-01 15:00:00,4.1856947,3.0752518,2.024632
2023-12-04 15:00:00,4.186957,3.0707915,2.0140216
2023-12-05 15:00:00,4.1884522,3.064961,1.9997697
2023-12-06 15:00:00,4.1906753,3.056627,1.9783683
2023-12-07 15:00:00,4.192481,3.0476353,1.9581649
2023-12-08 15:00:00,4.193582,3.0391064,1.9408643
2023-12-11 15:00:00,4.194433,3.0308855,1.9239173
2023-12-12 15:00:00,4.1952777,3.0225806,1.9061472
2023-12-13 15:00:00,4.1948457,3.016716,1.8973149
2023-12-14 15:00:00,4.194898,3.010801,1.8848331
2023-12-15 15:00:00,4.195306,3.0044022,1.8704503
2023-12-18 15:00:00,4.195279,2.998765,1.85963
2023-12-19 15:00:00,4.1952715,2.9934459,1.848949
2023-12-20 15:00:00,4.1955705,2.9878156,1.8366104
2023-12-21 15:00:00,4.1961126,2.9816732,1.8229234
2023-12-22 15:00:00,4.196118,2.9763792,1.813214
2023-12-25 15:00:00,4.1959524,2.971751,1.8047681
2023-12-26 15:00:00,4.195847,2.9673424,1.7961586
2023-12-27 15:00:00,4.1960287,2.962688,1.7861801
2023-12-28 15:00:00,4.196175,2.9580846,1.7768716
2023-12-29 15:00:00,4.195286,2.9554856,1.7749845
,4.1942873,2.9539547,1.7740417
,4.1941595,2.9515834,1.7681035
,4.1943164,2.9485648,1.7611161
,4.1950116,2.9442978,1.7506872
,4.195528,2.939747,1.7413378
,4.196294,2.9346094,1.7301538
,4.1967916,2.929818,1.720992
,4.197416,2.9248939,1.7108891
,4.1978555,2.9203424,1.7022628
,4.1982584,2.9160628,1.6940486
,4.198448,2.9120867,1.6869581
,4.198737,2.9081354,1.6793121
,4.1996427,2.9031181,1.6677363
,4.20036,2.8979957,1.6575818
,4.200816,2.8932939,1.6491271
,4.2019763,2.8874552,1.635922
,4.2027426,2.8818815,1.6255486
,4.202594,2.8780448,1.621123
,4.200623,2.8779726,1.6281703
,4.1977024,2.8813503,1.6415815
,4.195289,2.8857465,1.6529349
,4.1941037,2.8886514,1.6576093
,4.194079,2.8895595,1.6566819
,4.1948795,2.8882508,1.651165
,4.1957216,2.8860595,1.6457406
,4.197253,2.8821301,1.6354353
,4.197849,2.8789701,1.6308008
,4.197957,2.8765194,1.627983
,4.196371,2.8770034,1.6351
,4.195048,2.8783236,1.6401179
,4.193847,2.880197,1.6453766
,4.192059,2.8834562,1.6550521
,4.190494,2.886627,1.6630057
,4.189151,2.8897612,1.6703448
,4.1886244,2.8909903,1.672003
,4.1882358,2.891231,1.6728961
,4.188338,2.890443,1.6709498
,4.1882234,2.8891249,1.6697214
,4.1884713,2.8871799,1.6661673
,4.189921,2.8823516,1.6542454
,4.1912966,2.8760176,1.6421897
,4.1928015,2.8689373,1.6291099
,4.194455,2.862178,1.6163083
,4.1957626,2.8548486,1.6043116
,4.195832,2.848569,1.5985111
,4.193951,2.8459883,1.6038555
,4.1925035,2.8445814,1.6064717
,4.190988,2.8408504,1.6076261
,4.190567,2.8375366,1.605394
,4.190616,2.8337643,1.6022545
,4.1909213,2.827334,1.5976372
,4.191211,2.8206542,1.5946693
,4.1913605,2.8150156,1.593769
,4.1918015,2.809775,1.5920572
,4.1918683,2.8020546,1.5948702
,4.1915174,2.7943969,1.6033629
,4.1918316,2.7862911,1.612611
,4.192316,2.7790475,1.6244577
,4.1936274,2.7696202,1.643191
,4.196512,2.7507634,1.7322081
,4.2042584,2.7352026,1.9704114
,4.2155647,2.7400796,2.3546107
,4.2347474,2.805511,3.3154936
,4.2542677,2.9456437,4.6621075
,4.301152,3.421676,8.316088
,4.378434,3.904618,12.003666
,4.580267,4.5502133,18.292925
,4.696354,4.7779956,21.7085
,4.7828684,4.927619,25.244312
,4.8053665,4.9790897,27.257397
,4.804141,5.0070367,29.012117
,4.804736,5.0088835,29.06082
,4.7772245,4.910717,24.63745
,4.6480875,4.665829,19.844545
,4.475477,4.19164,14.517247
,4.310373,3.1094484,6.106552
,4.282905,2.823534,3.7658112
,4.2725396,2.7704096,3.2420266
,4.2842627,2.8754053,4.2418804
,4.329281,3.3719141,8.07355
,4.4694967,4.171,14.3884115
,4.574435,4.488996,17.634567
,4.566795,4.4715095,17.42711
,4.4698715,4.1828485,14.484795
,4.411264,3.9480536,12.44661
,4.317639,3.3284028,7.7280684
,4.3076515,3.2394967,7.0727262
,4.3014064,3.2005503,6.7858925
,4.37604,3.8084903,11.348596
,4.4960504,4.2995462,15.655739
,4.704441,4.773353,21.904812
,4.78325,4.999834,30.423878
,4.643712,4.9620643,34.645046
,4.529359,4.882501,36.8145
,4.478313,4.8295064,37.703503
,4.4442887,4.784688,38.305733
,4.4265623,4.7560773,38.635666
,4.4137597,4.7324247,38.888775
,4.4069576,4.717907,39.03536
,4.40481,4.7129984,39.088856
,4.4025664,4.707162,39.142773
,4.401122,4.703784,39.178112
,4.400205,4.7015753,39.20358
,4.3992367,4.6988525,39.22903
,4.397294,4.69375,39.276817
,4.3946633,4.6861353,39.34574
,4.393263,4.6817756,39.38814
,4.392191,4.677623,39.422653
,4.3914566,4.675199,39.447254
,4.390954,4.6732306,39.468967
,4.3906116,4.6716447,39.486786
,4.3903356,4.6704397,39.504196
,4.390159,4.669197,39.52017
,4.390037,4.6683493,39.53378
,4.389934,4.66726,39.546207
,4.389777,4.666161,39.557667
,4.389651,4.6654625,39.567005
,4.389566,4.6648765,39.575638
,4.389478,4.6638365,39.581093
,4.3892775,4.6632037,39.586357
,4.3891587,4.6627574,39.590103
,4.389081,4.662752,39.59372
,4.389107,4.6628036,39.597015
,4.3891706,4.663078,39.600773
,4.389292,4.663231,39.60343
,4.3893704,4.663405,39.605774
,4.3894205,4.663332,39.60676
,4.389368,4.66306,39.60702
,4.389268,4.6630774,39.60754
,4.38921,4.6629834,39.607613
,4.3891234,4.66269,39.606216
,4.388987,4.662568,39.60418
,4.3888874,4.6627274,39.602192
,4.38887,4.663144,39.5998
,4.388934,4.6638336,39.597145
,4.389088,4.6648626,39.594418
,4.3892975,4.6656365,39.59157
,4.389414,4.6658297,39.58997
,4.389478,4.6664124,39.587883
,4.389579,4.6669173,39.585205
,4.3896227,4.666947,39.58057
,4.389619,4.6678033,39.57387
,4.389739,4.6689663,39.56677
,4.3899174,4.6700764,39.560028
,4.390188,4.671383,39.54986
,4.390487,4.673052,39.538376
,4.3907638,4.6742325,39.52837
,4.390792,4.674179,39.523727
,4.390423,4.673093,39.532635
,4.390148,4.671811,39.5438
,4.3899474,4.670615,39.55435
,4.389746,4.6690516,39.565002
,4.3895326,4.667743,39.57546
,4.3894534,4.6670184,39.58156
,4.389405,4.6666,39.587074
,4.3894386,4.6665263,39.59133
,4.3895044,4.6664333,39.59589
,4.3895926,4.66647,39.599407
,4.3896556,4.6662226,39.60226
,4.389666,4.666338,39.605442
,4.3897257,4.666384,39.609695
,4.3897996,4.666357,39.61294
